description,category
AIRTEL POS,Bills
ELECTRICITY BILL TXN,Bills
MUTUAL FUND SIP BANGALORE,Investment
NPS ONLINE,Investment
ATM WITHDRAWAL #1234,Others
IRCTC STORE,Travel
MYNTRA TXN,Shopping
ZERODHA STORE,Investment
MONTHLY SALARY TXN,Salary
BANK CHARGE ONLINE,Others
MEDICAL STORE POS,Healthcare
ATM WITHDRAWAL,Others
BANK CHARGE INDIA,Others
YOUTUBE PREMIUM STORE,Entertainment
LAB TEST,Healthcare
KFC INDIA POS,Food
ATM WITHDRAWAL BANGALORE,Others
HOSPITAL ONLINE,Healthcare
SUBWAY PAYMENT,Food
BONUS CREDIT UPI,Salary
BONUS CREDIT BANGALORE,Salary
WATER BILL PAYMENT,Bills
METRO RECHARGE KOCHI,Travel
MEDICAL STORE UPI,Healthcare
ZOMATO PAYMENT BANGALORE,Food
MCDONALDS,Food
HP PETROL BANGALORE,Fuel
KSRTC #1234,Travel
SHELL PETROL STORE,Fuel
SALARY CREDIT POS,Salary
PUMA POS,Shopping
DENTAL CLINIC POS,Healthcare
PPF ONLINE,Investment
SHELL PETROL,Fuel
KFC INDIA UPI,Food
MOBILE RECHARGE #1234,Bills
MYNTRA BANGALORE,Shopping
METRO RECHARGE INDIA,Travel
MOBILE RECHARGE TXN,Bills
LAB TEST ONLINE,Healthcare
BROADBAND BILL KOCHI,Bills
BONUS CREDIT PAYMENT,Salary
AIRTEL PAYMENT,Bills
BUS TICKET,Travel
MEDICAL STORE POS,Healthcare
BONUS CREDIT INDIA,Salary
RELIANCE DIGITAL PAYMENT,Shopping
BUS TICKET ONLINE,Travel
WATER BILL KOCHI,Bills
JIO RECHARGE UPI,Bills
SALARY CREDIT PAYMENT,Salary
ATM WITHDRAWAL PAYMENT,Others
FLIPKART #1234,Shopping
SALARY CREDIT PAYMENT,Salary
STOCK PURCHASE KOCHI,Investment
DOMINOS PIZZA BANGALORE,Food
DENTAL CLINIC INDIA,Healthcare
BOOKMYSHOW TXN,Entertainment
SUBWAY,Food
NIKE STORE ONLINE,Shopping
AMAZON PAY UPI,Shopping
HOTSTAR TXN,Entertainment
SHELL PETROL STORE,Fuel
CROMA #1234,Shopping
YOUTUBE PREMIUM POS,Entertainment
SHELL PETROL POS,Fuel
JIO RECHARGE,Bills
HOTSTAR ONLINE,Entertainment
ELECTRICITY BILL KOCHI,Bills
NPS PAYMENT,Investment
HOSPITAL,Healthcare
SUBWAY ONLINE,Food
NIKE STORE UPI,Shopping
PPF KOCHI,Investment
HP PETROL ONLINE,Fuel
YOUTUBE PREMIUM KOCHI,Entertainment
BHARAT PETROLEUM KOCHI,Fuel
AMAZON PAY BANGALORE,Shopping
INDIAN OIL STORE,Fuel
CASH WITHDRAWAL PAYMENT,Others
METRO RECHARGE PAYMENT,Travel
MYNTRA TXN,Shopping
SALARY CREDIT POS,Salary
BONUS CREDIT UPI,Salary
HP PETROL KOCHI,Fuel
INDIAN OIL,Fuel
INDIAN OIL UPI,Fuel
BHARAT PETROLEUM INDIA,Fuel
HP PETROL ONLINE,Fuel
KSRTC ONLINE,Travel
MCDONALDS KOCHI,Food
KSRTC TXN,Travel
SWIGGY ORDER PAYMENT,Food
JIO RECHARGE,Bills
PPF UPI,Investment
INDIAN OIL KOCHI,Fuel
BHARAT PETROLEUM POS,Fuel
ATM WITHDRAWAL UPI,Others
RELIANCE DIGITAL ONLINE,Shopping
FLIGHT BOOKING UPI,Travel
AMAZON PAY TXN,Shopping
JIO RECHARGE,Bills
JIO RECHARGE UPI,Bills
LAB TEST,Healthcare
MOBILE RECHARGE POS,Bills
CROMA KOCHI,Shopping
BUS TICKET ONLINE,Travel
PIZZA HUT POS,Food
MUTUAL FUND SIP TXN,Investment
BUS TICKET TXN,Travel
CROMA STORE,Shopping
ZERODHA BANGALORE,Investment
ATM WITHDRAWAL BANGALORE,Others
HOTSTAR INDIA,Entertainment
SALARY CREDIT #1234,Salary
ZERODHA KOCHI,Investment
SHELL PETROL STORE,Fuel
CHEQUE PAYMENT INDIA,Others
ZERODHA ONLINE,Investment
WATER BILL UPI,Bills
PUMA POS,Shopping
YOUTUBE PREMIUM POS,Entertainment
MCDONALDS TXN,Food
HOSPITAL #1234,Healthcare
IRCTC STORE,Travel
BANK CHARGE BANGALORE,Others
NPS PAYMENT,Investment
IRCTC #1234,Travel
JIO RECHARGE INDIA,Bills
BANK CHARGE ONLINE,Others
BROADBAND BILL BANGALORE,Bills
AIRTEL KOCHI,Bills
SHELL PETROL TXN,Fuel
ELECTRICITY BILL KOCHI,Bills
BHARAT PETROLEUM PAYMENT,Fuel
OLA CAB STORE,Travel
ELECTRICITY BILL UPI,Bills
JIO RECHARGE UPI,Bills
BONUS CREDIT #1234,Salary
ATM WITHDRAWAL #1234,Others
FLIPKART STORE,Shopping
NETFLIX TXN,Entertainment
MCDONALDS BANGALORE,Food
MUTUAL FUND SIP KOCHI,Investment
BOOKMYSHOW BANGALORE,Entertainment
BOOKMYSHOW PAYMENT,Entertainment
RAPIDO,Travel
BROADBAND BILL POS,Bills
LAB TEST BANGALORE,Healthcare
SHELL PETROL TXN,Fuel
ELECTRICITY BILL UPI,Bills
MONTHLY SALARY KOCHI,Salary
DENTAL CLINIC #1234,Healthcare
AMAZON PRIME ONLINE,Entertainment
WATER BILL UPI,Bills
ELECTRICITY BILL,Bills
LAB TEST ONLINE,Healthcare
OLA CAB INDIA,Travel
HP PETROL,Fuel
NPS TXN,Investment
MUTUAL FUND SIP BANGALORE,Investment
PIZZA HUT TXN,Food
KSRTC TXN,Travel
IRCTC BANGALORE,Travel
YOUTUBE PREMIUM UPI,Entertainment
METRO RECHARGE PAYMENT,Travel
BONUS CREDIT POS,Salary
JIO RECHARGE STORE,Bills
BONUS CREDIT TXN,Salary
SPOTIFY INDIA,Entertainment
NPS TXN,Investment
BONUS CREDIT UPI,Salary
SALARY CREDIT #1234,Salary
BOOKMYSHOW PAYMENT,Entertainment
DENTAL CLINIC,Healthcare
SALARY CREDIT INDIA,Salary
YOUTUBE PREMIUM POS,Entertainment
MOBILE RECHARGE ONLINE,Bills
RAPIDO INDIA,Travel
AMAZON PAY ONLINE,Shopping
BONUS CREDIT BANGALORE,Salary
BHARAT PETROLEUM KOCHI,Fuel
PIZZA HUT #1234,Food
JIO RECHARGE KOCHI,Bills
KFC INDIA UPI,Food
HP PETROL STORE,Fuel
SPOTIFY ONLINE,Entertainment
INDIAN OIL ONLINE,Fuel
YOUTUBE PREMIUM,Entertainment
HOTSTAR INDIA,Entertainment
YOUTUBE PREMIUM BANGALORE,Entertainment
KSRTC #1234,Travel
HP PETROL TXN,Fuel
KSRTC KOCHI,Travel
CHEQUE PAYMENT KOCHI,Others
PPF PAYMENT,Investment
ELECTRICITY BILL,Bills
AMAZON PRIME #1234,Entertainment
PPF,Investment
WATER BILL ONLINE,Bills
MONTHLY SALARY BANGALORE,Salary
LAB TEST BANGALORE,Healthcare
CASH WITHDRAWAL KOCHI,Others
BANK CHARGE STORE,Others
SHELL PETROL TXN,Fuel
MONTHLY SALARY PAYMENT,Salary
RELIANCE DIGITAL PAYMENT,Shopping
HOSPITAL #1234,Healthcare
DENTAL CLINIC UPI,Healthcare
AJIO PAYMENT,Shopping
MCDONALDS UPI,Food
CHEQUE PAYMENT STORE,Others
MOBILE RECHARGE PAYMENT,Bills
STOCK PURCHASE,Investment
SPOTIFY #1234,Entertainment
DENTAL CLINIC INDIA,Healthcare
MONTHLY SALARY #1234,Salary
RELIANCE DIGITAL STORE,Shopping
RAPIDO,Travel
NIKE STORE INDIA,Shopping
BHARAT PETROLEUM INDIA,Fuel
PUMA STORE,Shopping
RAPIDO STORE,Travel
PUMA BANGALORE,Shopping
MONTHLY SALARY INDIA,Salary
BUS TICKET PAYMENT,Travel
ATM WITHDRAWAL STORE,Others
BHARAT PETROLEUM,Fuel
BHARAT PETROLEUM POS,Fuel
MEDICAL STORE INDIA,Healthcare
BANK CHARGE #1234,Others
NPS BANGALORE,Investment
SWIGGY ORDER PAYMENT,Food
HP PETROL BANGALORE,Fuel
SHELL PETROL ONLINE,Fuel
YOUTUBE PREMIUM ONLINE,Entertainment
MEDICAL STORE ONLINE,Healthcare
MEDICAL STORE #1234,Healthcare
LAB TEST STORE,Healthcare
PPF ONLINE,Investment
AJIO,Shopping
HOTSTAR BANGALORE,Entertainment
DENTAL CLINIC POS,Healthcare
BROADBAND BILL KOCHI,Bills
ATM WITHDRAWAL ONLINE,Others
SALARY CREDIT #1234,Salary
PPF STORE,Investment
CASH WITHDRAWAL #1234,Others
CHEQUE PAYMENT STORE,Others
OLA CAB PAYMENT,Travel
LAB TEST POS,Healthcare
SHELL PETROL UPI,Fuel
SALARY CREDIT TXN,Salary
ATM WITHDRAWAL PAYMENT,Others
MUTUAL FUND SIP TXN,Investment
LAB TEST ONLINE,Healthcare
PIZZA HUT BANGALORE,Food
YOUTUBE PREMIUM KOCHI,Entertainment
MUTUAL FUND SIP UPI,Investment
BANK CHARGE ONLINE,Others
BOOKMYSHOW STORE,Entertainment
CASH WITHDRAWAL POS,Others
OLA CAB,Travel
WATER BILL,Bills
RELIANCE DIGITAL BANGALORE,Shopping
BONUS CREDIT UPI,Salary
KFC INDIA UPI,Food
PIZZA HUT KOCHI,Food
BHARAT PETROLEUM BANGALORE,Fuel
HP PETROL TXN,Fuel
SPOTIFY STORE,Entertainment
LAB TEST PAYMENT,Healthcare
CASH WITHDRAWAL ONLINE,Others
HOSPITAL,Healthcare
PIZZA HUT PAYMENT,Food
HOTSTAR STORE,Entertainment
SALARY CREDIT UPI,Salary
METRO RECHARGE #1234,Travel
NPS KOCHI,Investment
BHARAT PETROLEUM INDIA,Fuel
AMAZON PRIME POS,Entertainment
SHELL PETROL #1234,Fuel
ATM WITHDRAWAL,Others
BROADBAND BILL STORE,Bills
DENTAL CLINIC ONLINE,Healthcare
APOLLO PHARMACY INDIA,Healthcare
MEDICAL STORE,Healthcare
IRCTC KOCHI,Travel
WATER BILL,Bills
DOMINOS PIZZA PAYMENT,Food
FLIGHT BOOKING PAYMENT,Travel
BROADBAND BILL KOCHI,Bills
AJIO,Shopping
BROADBAND BILL TXN,Bills
SALARY CREDIT POS,Salary
INDIAN OIL ONLINE,Fuel
APOLLO PHARMACY INDIA,Healthcare
SPOTIFY INDIA,Entertainment
STARBUCKS UPI,Food
METRO RECHARGE TXN,Travel
ATM WITHDRAWAL STORE,Others
HOSPITAL UPI,Healthcare
JIO RECHARGE KOCHI,Bills
JIO RECHARGE ONLINE,Bills
MOBILE RECHARGE KOCHI,Bills
PIZZA HUT ONLINE,Food
BUS TICKET POS,Travel
SALARY CREDIT,Salary
INDIAN OIL INDIA,Fuel
APOLLO PHARMACY,Healthcare
HOTSTAR POS,Entertainment
STOCK PURCHASE UPI,Investment
ELECTRICITY BILL POS,Bills
NPS PAYMENT,Investment
HOTSTAR INDIA,Entertainment
NETFLIX ONLINE,Entertainment
ELECTRICITY BILL KOCHI,Bills
HOSPITAL STORE,Healthcare
ELECTRICITY BILL UPI,Bills
DENTAL CLINIC KOCHI,Healthcare
SALARY CREDIT BANGALORE,Salary
BONUS CREDIT UPI,Salary
BHARAT PETROLEUM BANGALORE,Fuel
MONTHLY SALARY #1234,Salary
CHEQUE PAYMENT TXN,Others
UBER TRIP BANGALORE,Travel
ATM WITHDRAWAL BANGALORE,Others
AMAZON PRIME INDIA,Entertainment
BONUS CREDIT ONLINE,Salary
HP PETROL TXN,Fuel
AMAZON PAY #1234,Shopping
MOBILE RECHARGE,Bills
SALARY CREDIT UPI,Salary
HOTSTAR ONLINE,Entertainment
BUS TICKET KOCHI,Travel
APOLLO PHARMACY ONLINE,Healthcare
ZERODHA BANGALORE,Investment
ATM WITHDRAWAL STORE,Others
MYNTRA PAYMENT,Shopping
YOUTUBE PREMIUM ONLINE,Entertainment
ATM WITHDRAWAL POS,Others
MEDICAL STORE ONLINE,Healthcare
BANK CHARGE,Others
CHEQUE PAYMENT PAYMENT,Others
BUS TICKET ONLINE,Travel
LAB TEST,Healthcare
NETFLIX,Entertainment
ATM WITHDRAWAL #1234,Others
MCDONALDS POS,Food
AMAZON PAY TXN,Shopping
NIKE STORE ONLINE,Shopping
BONUS CREDIT INDIA,Salary
HP PETROL BANGALORE,Fuel
DENTAL CLINIC ONLINE,Healthcare
HP PETROL KOCHI,Fuel
STOCK PURCHASE,Investment
BROADBAND BILL POS,Bills
MCDONALDS,Food
YOUTUBE PREMIUM POS,Entertainment
DOMINOS PIZZA INDIA,Food
BROADBAND BILL KOCHI,Bills
BOOKMYSHOW INDIA,Entertainment
LAB TEST PAYMENT,Healthcare
SALARY CREDIT UPI,Salary
HOTSTAR INDIA,Entertainment
NPS KOCHI,Investment
STOCK PURCHASE UPI,Investment
RELIANCE DIGITAL STORE,Shopping
BUS TICKET INDIA,Travel
ZERODHA,Investment
CHEQUE PAYMENT PAYMENT,Others
HP PETROL PAYMENT,Fuel
PIZZA HUT TXN,Food
MOBILE RECHARGE,Bills
AMAZON PAY STORE,Shopping
BHARAT PETROLEUM KOCHI,Fuel
FLIPKART POS,Shopping
MONTHLY SALARY ONLINE,Salary
JIO RECHARGE KOCHI,Bills
HOTSTAR TXN,Entertainment
APOLLO PHARMACY INDIA,Healthcare
WATER BILL PAYMENT,Bills
SHELL PETROL PAYMENT,Fuel
MONTHLY SALARY INDIA,Salary
BONUS CREDIT PAYMENT,Salary
ZERODHA STORE,Investment
IRCTC ONLINE,Travel
ZOMATO PAYMENT TXN,Food
CROMA TXN,Shopping
KSRTC INDIA,Travel
AJIO KOCHI,Shopping
INDIAN OIL PAYMENT,Fuel
BURGER KING #1234,Food
APOLLO PHARMACY #1234,Healthcare
MONTHLY SALARY KOCHI,Salary
AMAZON PRIME ONLINE,Entertainment
MEDICAL STORE STORE,Healthcare
BHARAT PETROLEUM BANGALORE,Fuel
MONTHLY SALARY UPI,Salary
PIZZA HUT #1234,Food
RAPIDO,Travel
ATM WITHDRAWAL PAYMENT,Others
APOLLO PHARMACY PAYMENT,Healthcare
PPF TXN,Investment
SUBWAY PAYMENT,Food
KSRTC INDIA,Travel
RAPIDO POS,Travel
HP PETROL #1234,Fuel
MEDICAL STORE TXN,Healthcare
BOOKMYSHOW TXN,Entertainment
STOCK PURCHASE #1234,Investment
PPF KOCHI,Investment
IRCTC POS,Travel
UBER TRIP TXN,Travel
YOUTUBE PREMIUM POS,Entertainment
STARBUCKS BANGALORE,Food
CROMA #1234,Shopping
PPF #1234,Investment
BONUS CREDIT #1234,Salary
ELECTRICITY BILL PAYMENT,Bills
AJIO UPI,Shopping
BOOKMYSHOW,Entertainment
NPS,Investment
KSRTC POS,Travel
HOSPITAL POS,Healthcare
SWIGGY ORDER POS,Food
MOBILE RECHARGE INDIA,Bills
CROMA POS,Shopping
BUS TICKET KOCHI,Travel
MONTHLY SALARY INDIA,Salary
BURGER KING TXN,Food
SALARY CREDIT ONLINE,Salary
ZOMATO PAYMENT #1234,Food
MOBILE RECHARGE POS,Bills
SPOTIFY INDIA,Entertainment
RAPIDO ONLINE,Travel
IRCTC POS,Travel
IRCTC PAYMENT,Travel
APOLLO PHARMACY STORE,Healthcare
ATM WITHDRAWAL POS,Others
BANK CHARGE POS,Others
STARBUCKS INDIA,Food
SWIGGY ORDER POS,Food
OLA CAB BANGALORE,Travel
INDIAN OIL #1234,Fuel
MCDONALDS TXN,Food
MONTHLY SALARY POS,Salary
LAB TEST STORE,Healthcare
APOLLO PHARMACY TXN,Healthcare
NETFLIX KOCHI,Entertainment
BONUS CREDIT ONLINE,Salary
BANK CHARGE TXN,Others
ATM WITHDRAWAL INDIA,Others
INDIAN OIL UPI,Fuel
JIO RECHARGE ONLINE,Bills
PPF TXN,Investment
BONUS CREDIT KOCHI,Salary
WATER BILL ONLINE,Bills
SHELL PETROL POS,Fuel
NETFLIX TXN,Entertainment
MUTUAL FUND SIP ONLINE,Investment
SALARY CREDIT POS,Salary
BROADBAND BILL BANGALORE,Bills
HP PETROL ONLINE,Fuel
SALARY CREDIT KOCHI,Salary
WATER BILL KOCHI,Bills
SHELL PETROL PAYMENT,Fuel
CROMA STORE,Shopping
BONUS CREDIT,Salary
BURGER KING PAYMENT,Food
HP PETROL,Fuel
HP PETROL UPI,Fuel
YOUTUBE PREMIUM POS,Entertainment
MUTUAL FUND SIP INDIA,Investment
CASH WITHDRAWAL TXN,Others
CHEQUE PAYMENT UPI,Others
MONTHLY SALARY UPI,Salary
NETFLIX UPI,Entertainment
KSRTC #1234,Travel
ATM WITHDRAWAL BANGALORE,Others
ZERODHA POS,Investment
KSRTC UPI,Travel
ELECTRICITY BILL UPI,Bills
SALARY CREDIT BANGALORE,Salary
AMAZON PAY TXN,Shopping
SALARY CREDIT STORE,Salary
CHEQUE PAYMENT PAYMENT,Others
NPS POS,Investment
ELECTRICITY BILL STORE,Bills
HOTSTAR POS,Entertainment
BURGER KING PAYMENT,Food
SALARY CREDIT POS,Salary
PUMA PAYMENT,Shopping
CAFE COFFEE DAY BANGALORE,Food
CASH WITHDRAWAL STORE,Others
INDIAN OIL UPI,Fuel
BHARAT PETROLEUM KOCHI,Fuel
MONTHLY SALARY BANGALORE,Salary
MONTHLY SALARY #1234,Salary
HP PETROL UPI,Fuel
CAFE COFFEE DAY UPI,Food
BHARAT PETROLEUM PAYMENT,Fuel
APOLLO PHARMACY,Healthcare
CHEQUE PAYMENT,Others
BONUS CREDIT BANGALORE,Salary
MONTHLY SALARY UPI,Salary
MONTHLY SALARY ONLINE,Salary
AIRTEL POS,Bills
IRCTC ONLINE,Travel
AJIO ONLINE,Shopping
NPS BANGALORE,Investment
CAFE COFFEE DAY ONLINE,Food
SHELL PETROL ONLINE,Fuel
NIKE STORE TXN,Shopping
ZERODHA UPI,Investment
NPS TXN,Investment
MONTHLY SALARY,Salary
SWIGGY ORDER INDIA,Food
OLA CAB ONLINE,Travel
SPOTIFY TXN,Entertainment
DENTAL CLINIC TXN,Healthcare
INDIAN OIL TXN,Fuel
YOUTUBE PREMIUM PAYMENT,Entertainment
MEDICAL STORE UPI,Healthcare
MOBILE RECHARGE PAYMENT,Bills
NETFLIX INDIA,Entertainment
ZERODHA INDIA,Investment
MEDICAL STORE STORE,Healthcare
ATM WITHDRAWAL,Others
PPF ONLINE,Investment
BUS TICKET TXN,Travel
AMAZON PAY TXN,Shopping
MEDICAL STORE PAYMENT,Healthcare
HP PETROL PAYMENT,Fuel
WATER BILL TXN,Bills
BUS TICKET INDIA,Travel
YOUTUBE PREMIUM,Entertainment
STARBUCKS STORE,Food
ELECTRICITY BILL KOCHI,Bills
SUBWAY ONLINE,Food
CAFE COFFEE DAY,Food
MYNTRA #1234,Shopping
AIRTEL #1234,Bills
AMAZON PAY PAYMENT,Shopping
BONUS CREDIT PAYMENT,Salary
CHEQUE PAYMENT TXN,Others
SPOTIFY INDIA,Entertainment
MEDICAL STORE ONLINE,Healthcare
JIO RECHARGE BANGALORE,Bills
BURGER KING KOCHI,Food
ZERODHA KOCHI,Investment
AIRTEL STORE,Bills
SALARY CREDIT INDIA,Salary
BHARAT PETROLEUM INDIA,Fuel
STOCK PURCHASE POS,Investment
AJIO BANGALORE,Shopping
SWIGGY ORDER POS,Food
CHEQUE PAYMENT STORE,Others
STARBUCKS #1234,Food
UBER TRIP BANGALORE,Travel
NPS KOCHI,Investment
SHELL PETROL PAYMENT,Fuel
AIRTEL,Bills
MONTHLY SALARY STORE,Salary
CHEQUE PAYMENT PAYMENT,Others
WATER BILL ONLINE,Bills
PIZZA HUT POS,Food
BANK CHARGE ONLINE,Others
BONUS CREDIT #1234,Salary
MONTHLY SALARY TXN,Salary
MONTHLY SALARY STORE,Salary
MONTHLY SALARY POS,Salary
CASH WITHDRAWAL STORE,Others
MCDONALDS,Food
STOCK PURCHASE KOCHI,Investment
BHARAT PETROLEUM,Fuel
NIKE STORE INDIA,Shopping
MEDICAL STORE,Healthcare
WATER BILL POS,Bills
BONUS CREDIT BANGALORE,Salary
NETFLIX PAYMENT,Entertainment
SHELL PETROL BANGALORE,Fuel
PIZZA HUT,Food
ZERODHA INDIA,Investment
NIKE STORE KOCHI,Shopping
ZOMATO PAYMENT TXN,Food
DENTAL CLINIC UPI,Healthcare
BONUS CREDIT UPI,Salary
SALARY CREDIT STORE,Salary
CASH WITHDRAWAL BANGALORE,Others
MUTUAL FUND SIP BANGALORE,Investment
BROADBAND BILL INDIA,Bills
ATM WITHDRAWAL POS,Others
WATER BILL ONLINE,Bills
BHARAT PETROLEUM KOCHI,Fuel
UBER TRIP POS,Travel
HP PETROL ONLINE,Fuel
MEDICAL STORE #1234,Healthcare
NETFLIX INDIA,Entertainment
HOTSTAR UPI,Entertainment
HOTSTAR,Entertainment
AJIO POS,Shopping
DOMINOS PIZZA PAYMENT,Food
FLIPKART,Shopping
SPOTIFY UPI,Entertainment
NPS PAYMENT,Investment
BANK CHARGE INDIA,Others
ELECTRICITY BILL STORE,Bills
WATER BILL ONLINE,Bills
SPOTIFY #1234,Entertainment
DOMINOS PIZZA ONLINE,Food
ZOMATO PAYMENT STORE,Food
HOTSTAR UPI,Entertainment
AMAZON PRIME BANGALORE,Entertainment
SHELL PETROL #1234,Fuel
PIZZA HUT POS,Food
NIKE STORE PAYMENT,Shopping
PPF POS,Investment
MEDICAL STORE KOCHI,Healthcare
MOBILE RECHARGE POS,Bills
MOBILE RECHARGE INDIA,Bills
DENTAL CLINIC,Healthcare
NPS POS,Investment
KFC INDIA,Food
MEDICAL STORE #1234,Healthcare
SWIGGY ORDER PAYMENT,Food
SUBWAY PAYMENT,Food
CASH WITHDRAWAL STORE,Others
BONUS CREDIT INDIA,Salary
AIRTEL PAYMENT,Bills
MYNTRA UPI,Shopping
NIKE STORE TXN,Shopping
FLIPKART #1234,Shopping
MEDICAL STORE STORE,Healthcare
BONUS CREDIT STORE,Salary
MUTUAL FUND SIP ONLINE,Investment
BHARAT PETROLEUM STORE,Fuel
BUS TICKET INDIA,Travel
CASH WITHDRAWAL PAYMENT,Others
MCDONALDS #1234,Food
MCDONALDS,Food
LAB TEST PAYMENT,Healthcare
ZERODHA POS,Investment
MONTHLY SALARY TXN,Salary
APOLLO PHARMACY UPI,Healthcare
BONUS CREDIT PAYMENT,Salary
RELIANCE DIGITAL BANGALORE,Shopping
MONTHLY SALARY ONLINE,Salary
AMAZON PAY STORE,Shopping
MUTUAL FUND SIP UPI,Investment
SUBWAY INDIA,Food
AJIO KOCHI,Shopping
APOLLO PHARMACY TXN,Healthcare
STARBUCKS TXN,Food
BONUS CREDIT KOCHI,Salary
APOLLO PHARMACY PAYMENT,Healthcare
APOLLO PHARMACY ONLINE,Healthcare
ELECTRICITY BILL POS,Bills
BONUS CREDIT POS,Salary
LAB TEST #1234,Healthcare
AIRTEL POS,Bills
NIKE STORE STORE,Shopping
BONUS CREDIT #1234,Salary
UBER TRIP PAYMENT,Travel
JIO RECHARGE BANGALORE,Bills
MYNTRA #1234,Shopping
SALARY CREDIT PAYMENT,Salary
UBER TRIP TXN,Travel
CHEQUE PAYMENT STORE,Others
MEDICAL STORE STORE,Healthcare
PPF STORE,Investment
SALARY CREDIT UPI,Salary
HOSPITAL #1234,Healthcare
ZERODHA ONLINE,Investment
HOSPITAL,Healthcare
AMAZON PAY TXN,Shopping
MONTHLY SALARY BANGALORE,Salary
PUMA STORE,Shopping
AMAZON PAY PAYMENT,Shopping
CHEQUE PAYMENT ONLINE,Others
PPF TXN,Investment
MONTHLY SALARY KOCHI,Salary
BHARAT PETROLEUM ONLINE,Fuel
ZOMATO PAYMENT UPI,Food
SWIGGY ORDER #1234,Food
SHELL PETROL PAYMENT,Fuel
LAB TEST INDIA,Healthcare
SPOTIFY POS,Entertainment
PUMA,Shopping
STOCK PURCHASE #1234,Investment
RELIANCE DIGITAL POS,Shopping
HP PETROL BANGALORE,Fuel
BANK CHARGE KOCHI,Others
HOTSTAR INDIA,Entertainment
HOSPITAL,Healthcare
CHEQUE PAYMENT POS,Others
ATM WITHDRAWAL POS,Others
FLIGHT BOOKING STORE,Travel
AMAZON PRIME INDIA,Entertainment
UBER TRIP INDIA,Travel
MEDICAL STORE PAYMENT,Healthcare
BANK CHARGE PAYMENT,Others
ZOMATO PAYMENT ONLINE,Food
SALARY CREDIT,Salary
AMAZON PAY,Shopping
MONTHLY SALARY #1234,Salary
KFC INDIA PAYMENT,Food
WATER BILL KOCHI,Bills
MONTHLY SALARY #1234,Salary
MOBILE RECHARGE UPI,Bills
SALARY CREDIT INDIA,Salary
PUMA STORE,Shopping
PPF,Investment
MOBILE RECHARGE UPI,Bills
BURGER KING UPI,Food
BROADBAND BILL KOCHI,Bills
MEDICAL STORE STORE,Healthcare
BHARAT PETROLEUM #1234,Fuel
CROMA #1234,Shopping
MOBILE RECHARGE BANGALORE,Bills
NIKE STORE ONLINE,Shopping
BROADBAND BILL TXN,Bills
ATM WITHDRAWAL STORE,Others
BHARAT PETROLEUM POS,Fuel
DOMINOS PIZZA ONLINE,Food
APOLLO PHARMACY,Healthcare
MONTHLY SALARY TXN,Salary
MONTHLY SALARY UPI,Salary
BONUS CREDIT PAYMENT,Salary
HOTSTAR INDIA,Entertainment
CAFE COFFEE DAY TXN,Food
APOLLO PHARMACY INDIA,Healthcare
NIKE STORE ONLINE,Shopping
SALARY CREDIT INDIA,Salary
BOOKMYSHOW TXN,Entertainment
AIRTEL STORE,Bills
HP PETROL TXN,Fuel
SPOTIFY,Entertainment
APOLLO PHARMACY INDIA,Healthcare
CAFE COFFEE DAY #1234,Food
ZERODHA,Investment
PPF ONLINE,Investment
HOSPITAL ONLINE,Healthcare
BANK CHARGE POS,Others
BOOKMYSHOW #1234,Entertainment
AMAZON PRIME STORE,Entertainment
INDIAN OIL POS,Fuel
AJIO KOCHI,Shopping
AJIO KOCHI,Shopping
AMAZON PRIME,Entertainment
OLA CAB STORE,Travel
IRCTC STORE,Travel
PPF #1234,Investment
DOMINOS PIZZA INDIA,Food
BONUS CREDIT,Salary
SHELL PETROL BANGALORE,Fuel
HP PETROL TXN,Fuel
CASH WITHDRAWAL BANGALORE,Others
BONUS CREDIT BANGALORE,Salary
CROMA TXN,Shopping
HP PETROL #1234,Fuel
RELIANCE DIGITAL KOCHI,Shopping
APOLLO PHARMACY POS,Healthcare
BHARAT PETROLEUM INDIA,Fuel
OLA CAB PAYMENT,Travel
SWIGGY ORDER UPI,Food
LAB TEST PAYMENT,Healthcare
LAB TEST BANGALORE,Healthcare
HOSPITAL INDIA,Healthcare
CHEQUE PAYMENT STORE,Others
FLIPKART KOCHI,Shopping
KFC INDIA #1234,Food
CROMA UPI,Shopping
ATM WITHDRAWAL STORE,Others
APOLLO PHARMACY UPI,Healthcare
FLIGHT BOOKING UPI,Travel
NPS TXN,Investment
HOSPITAL STORE,Healthcare
HOSPITAL BANGALORE,Healthcare
SALARY CREDIT PAYMENT,Salary
NPS,Investment
NETFLIX ONLINE,Entertainment
AMAZON PRIME PAYMENT,Entertainment
BANK CHARGE PAYMENT,Others
FLIGHT BOOKING INDIA,Travel
STOCK PURCHASE BANGALORE,Investment
AIRTEL POS,Bills
INDIAN OIL BANGALORE,Fuel
JIO RECHARGE,Bills
YOUTUBE PREMIUM #1234,Entertainment
STOCK PURCHASE BANGALORE,Investment
FLIGHT BOOKING UPI,Travel
BANK CHARGE INDIA,Others
AMAZON PRIME,Entertainment
BHARAT PETROLEUM #1234,Fuel
BUS TICKET KOCHI,Travel
BROADBAND BILL PAYMENT,Bills
SALARY CREDIT,Salary
CASH WITHDRAWAL UPI,Others
AIRTEL POS,Bills
DENTAL CLINIC #1234,Healthcare
INDIAN OIL INDIA,Fuel
AMAZON PRIME TXN,Entertainment
STARBUCKS UPI,Food
